,Created_at,Username,Tweet
32,2022-09-20 17:29:35+00:00,twotime2equals4,"RT @theragex: Guided by Articles 59, 60 of the Constitution of the Donetsk People's Republic, in order to hold a referendum on joining the…"
33,2022-09-20 17:29:35+00:00,lindsaydowling,"RT @dominos: FREE DOMINO'S GIVEAWAY FOR #NationalPepperoniPizzaDay!​

RT for your chance to #WinDominosPizza for a YEAR!​

Rules: https://t…"
34,2022-09-20 17:29:35+00:00,Iam_Spiritual_,RT @SatlokChannel: International Peace Day 2022 or World Peace Day is celebrated on September 21 every year which focuses on giving peace a…
35,2022-09-20 17:29:35+00:00,reghanrose,"RT @WpgSoccer: ⚽️TEAM SPOTLIGHT⚽️
.
The fourth and final segment of our team spotlight will be highlighting the @WSEUSoccer U16/17GPR1 Red…"
36,2022-09-20 17:29:35+00:00,LewisLisaL,"I was honored to present about teen sleep at the Challenge Success Fall 2022 conference (held at Stanford this past weekend) -- what a terrific turnout of school teams, including parents and students! @chalsuccess"
37,2022-09-20 17:29:35+00:00,nanatata1330,"RT @chimigraphic: 'Rush Hour' CRUSH (Feat. j-hope of BTS)
2022.09.22 (THU) 6PM KST ❤️‍🔥 https://t.co/2VkpNpa5aq"
38,2022-09-20 17:29:35+00:00,PrinceLuka__,"RT @TogashiTweets: Hunter X Hunter will finally return with the 37th volume and will be released on Nov 4, 2022 in Japan.

It has been 4 Ye…"
39,2022-09-20 17:29:35+00:00,OkelloMarido,"RT @AJEnglish: One person is estimated to be dying of hunger every four seconds, more than 200 NGOs have warned https://t.co/KeFELBViT9 htt…"
40,2022-09-20 17:29:35+00:00,worldnewsdotcom,"#Myanmar military threatens jail for online #likes’ for opponents

#humanrights #burma #censorship #socialmedia 

https://t.co/UnoP9osNyI https://t.co/p9UsrFmHcj"
41,2022-09-20 17:29:35+00:00,wedik14,"RT @tigray116: In a statement, Commission Chair Kaari Betty Murungi described the humanitarian crisis in Tigray as “shocking, both in terms…"
42,2022-09-20 17:29:35+00:00,RuislipWoods,RT @Gehan_de_Silva: @LondonBirdClub @LNHSoc walk on Sat 17 Sept 2022 to Ruislip Woods led by Neil Anderson. Bookmatk checklist sponsored by…
43,2022-09-20 17:29:35+00:00,CelticLady1953,CELTICLADY'S REVIEWS: Stolen City by Elisa A. Bonnin Blog Tour and Givea... https://t.co/MHzaeqtsI4
44,2022-09-20 17:29:35+00:00,Kayisa,"RT @klabrw: Are you a limited company with potential &amp; a scalable business model? Win a revolutionised funding worth 10,000EUR to 50,000 EU…"
45,2022-09-20 17:29:35+00:00,trendseok,"RT @chimigraphic: 'Rush Hour' CRUSH (Feat. j-hope of BTS)
2022.09.22 (THU) 6PM KST ❤️‍🔥 https://t.co/2VkpNpa5aq"
46,2022-09-20 17:29:34+00:00,withmeitsaFTjob,"RT @rgoodlaw: Key — and I mean, key — to Espionage Act offense that Justice Department cited in Mar-a-Lago search warrant is if Trump “will…"
47,2022-09-20 17:29:34+00:00,ohsullie,RT @adamjohnsonNYC: Can the charmless Malthusian mole man keep the monarchy relevant by latching on to hollow neoliberal charity rhetoric??…
48,2022-09-20 17:29:34+00:00,BDSaf4,"RT @RaytheonIntel: We're making #AirTravel safer with @FAANews. 

By upgrading our space-based #NavigationSystem WAAS, we're helping pilots…"
49,2022-09-20 17:29:34+00:00,jjklarry17,"RT @votingbrigade: I. DON'T. WANT. TO. SEE. BTS. LOSING. THIS. AWARD. YOU. HEAR. ME. ARMY. 

BTS WILL ATTEND TMA 2022"
50,2022-09-20 17:29:34+00:00,Noori_2022,"I'm not going to participate in these polls

Roz Naya tamasha
  #HarshadChopda  • #yrkkh"
51,2022-09-20 17:29:34+00:00,GuyGadboisGuyG1,"RT @Frank_Stones: Japan is predicting its winter will trend colder as La Nina stretches into a third year, increasing the need for heating…"
52,2022-09-20 17:29:34+00:00,swissbusiness,"The scene after Hurricane Fiona battered Puerto Rico and the Dominican Republic
The National Hurricane Center warned that both Puerto Rico and the Dominican Republic should expect ""catastrophic flooding"" from the slow-moving storm.
https://t.co/EwtPdQGR7c"
53,2022-09-20 17:29:34+00:00,CoachE_Daniels,"RT @MeanGreenFB: 🏆 @ConferenceUSA 𝗦𝗽𝗲𝗰𝗶𝗮𝗹 𝗧𝗲𝗮𝗺𝘀 𝗣𝗹𝗮𝘆𝗲𝗿 𝗼𝗳 𝘁𝗵𝗲 𝗪𝗲𝗲𝗸

Congratulations, Kaylon. Big time. 👏👏👏

➡️ https://t.co/eJKkUYcqCU

#GM…"
54,2022-09-20 17:29:34+00:00,Toby2016Hart,"It's September 20, 2022 at 10:29AM . #MembersGetIt #RewardsPoints #FindYourRoute #MRpoints"
55,2022-09-20 17:29:34+00:00,Ricki2008,"RT @RobinABanker: Lauren Boebert is part of a dangerous religious movement that threatens democracy, experts say https://t.co/hkKnrIJFW8 vi…"
56,2022-09-20 17:29:34+00:00,PtraAlban,"RT @OnThinlce: 💿 SOUL SOLD SEPARATELY

👤 FREDDIE GIBBS

📅 SEPTEMBER 30TH, 2022 https://t.co/6bEXyYeej4"
57,2022-09-20 17:29:34+00:00,BestOfMelanieC,"RT @flashbacklondon: RESTOCK of Mel C's debut album, pressed on vinyl for the first time for Record Store Day 2022. 

Melanie C - Northern…"
58,2022-09-20 17:29:34+00:00,MelusiSiboniso,"This is devastating. The continued onslaught on #Palestine should end... Read a statement by @Follow_SALC and signed by about 130 human rights organisations in #Africa.
#Justice #Dignity #HumanRights #Palestinian 
https://t.co/gLYW4K8nio https://t.co/IqiFEvhCZU"
59,2022-09-20 17:29:34+00:00,ozzymemon,"RT @scholarsregion: Study-In-Netherlands: 2022 University of Groningen Eric Bleumink Fund Scholarships

Host Country: Netherlands

Category…"
60,2022-09-20 17:29:34+00:00,bjc5473,"RT @cheryl_english: I defy any1 who watch #cedawinlaw #tsm tribunal 13th july 2022 &amp; seen the evidence laid bare, not 2 support #50sWomen a…"
61,2022-09-20 17:29:34+00:00,Shahfars100,"SIA raids Falah-e-Aam Trust offices in Kashmir
 September 20, 2022  
KW reports from Indian-occupied Kashmir

Sopore, Sep 20: The State Investigating Agency (SIA) on Tuesday morning raided the office of Falah-e-Aam Trust in the Sopore area of North Kashmir’s Baramulla"
62,2022-09-20 17:29:34+00:00,SailorHannibal,RT @sonic_hedgehog: He'll shatter your world. Sonic Prime is coming to Netflix Winter 2022! https://t.co/ux5QLETJh4
63,2022-09-20 17:29:34+00:00,DogaliV,RT @Alula_Solomon: U.S. says it's aware of Eritrean troops in northern #Ethiopia | Reuters https://t.co/0U2WR6dUrJ
64,2022-09-20 17:29:34+00:00,coysbwizjet,"RT @MarshaCollier: That's not a real job opening:
Some companies are posting 'ghost jobs' but don't actually plan to hire you — or anyone…"
